Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,30,1986,30,30,2584,28.7,1,1,1,0,0,5,1,0.03,0.03,0.07,0.03,0.07,Matches
2,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,26,1990,20,16,1320,14.7,1,0,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches
3,René Adler\Rene-Adler,de GER,GK,Hamburger SV,31,1985,19,19,1710,19.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
4,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,24,1992,32,29,2506,27.8,4,4,4,0,0,1,0,0.14,0.14,0.29,0.14,0.29,Matches
5,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,25,1991,27,26,2288,25.4,6,5,6,0,0,4,0,0.24,0.20,0.43,0.24,0.43,Matches
6,Sami Allagui\Sami-Allagui,tn TUN,FWMF,Hertha BSC,30,1986,12,0,181,2.0,1,0,0,1,1,2,0,0.50,0.00,0.50,0.00,0.00,Matches
7,Allan\Allan,br BRA,MF,Hertha BSC,19,1997,15,8,798,8.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Xabi Alonso\Xabi-Alonso,es ESP,MF,Bayern Munich,34,1981,27,22,1903,21.1,3,2,3,0,0,6,0,0.14,0.09,0.24,0.14,0.24,Matches
9,Halil Altıntop\Halil-Altintop,tr TUR,MF,Augsburg,33,1982,31,17,1605,17.8,6,2,6,0,0,1,0,0.34,0.11,0.45,0.34,0.45,Matches
10,Hamit Altıntop\Hamit-Altintop,tr TUR,MF,Darmstadt 98,33,1982,16,15,1362,15.1,0,0,0,0,1,3,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,19,1996,33,20,1989,22.1,2,4,2,0,0,2,0,0.09,0.18,0.27,0.09,0.27,Matches
12,Dennis Aogo\Dennis-Aogo,de GER,MFDF,Schalke 04,29,1987,7,3,290,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,27,1989,26,22,1815,20.2,2,2,1,1,2,8,2,0.10,0.10,0.20,0.05,0.15,Matches
14,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,22,1994,32,28,2423,26.9,2,3,2,0,0,9,0,0.07,0.11,0.19,0.07,0.19,Matches
15,Barış Atik\Baris-Atik,de GER,MF,Hoffenheim,21,1995,3,0,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Dortmund,27,1989,32,31,2779,30.9,31,3,29,2,4,3,0,1.00,0.10,1.10,0.94,1.04,Matches
17,Donis Avdijaj\Donis-Avdijaj,xk KVX,MF,Schalke 04,19,1996,9,2,298,3.3,2,0,2,0,0,1,0,0.60,0.00,0.60,0.60,0.60,Matches
18,Florian Baak\Florian-Baak,de GER,DF,Hertha BSC,17,1999,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Holger Badstuber\Holger-Badstuber,de GER,DF,Schalke 04,27,1989,11,10,891,9.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
