Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,DF,Dijon,28,1987,18,15,1314,14.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Mehdi Abeid\Mehdi-Abeid,dz ALG,MF,Dijon,23,1992,28,27,2374,26.4,3,2,3,0,0,8,0,0.11,0.08,0.19,0.11,0.19,Matches
3,Geoffrey Acheampong\Geoffrey-Acheampong,gh GHA,MF,Bastia,19,1997,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Jordan Adéoti\Jordan-Adeoti,bj BEN,DF,Caen,27,1989,27,23,2120,23.6,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches
5,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Nancy,20,1996,26,23,1930,21.4,3,1,3,0,0,3,0,0.14,0.05,0.19,0.14,0.19,Matches
6,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,DFMF,Toulouse,23,1992,2,0,73,0.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Alexis Alegue\Alexis-Alegue,fr FRA,FW,Nantes,19,1996,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Romain Alessandrini\Romain-Alessandrini,fr FRA,FWMF,Marseille,27,1989,6,3,241,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Jérémie Aliadière\Jeremie-Aliadiere,fr FRA,FW,Lorient,33,1983,13,6,487,5.4,1,2,1,0,0,0,0,0.18,0.37,0.55,0.18,0.55,Matches
10,Júnior Alonso\Junior-Alonso,py PAR,DF,Lille,23,1993,12,10,959,10.7,0,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches
11,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Lille,23,1993,35,34,2952,32.8,1,0,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,Matches
12,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MFFW,Lille,31,1985,17,8,733,8.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Morgan Amalfitano\Morgan-Amalfitano,fr FRA,MF,Rennes,31,1985,6,6,401,4.5,1,0,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,Matches
14,Romain Amalfitano\Romain-Amalfitano,fr FRA,MF,Dijon,26,1989,26,15,1418,15.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,18,1998,22,20,1776,19.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,25,1990,36,36,3215,35.7,0,3,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,Matches
17,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,27,1989,16,16,1367,15.2,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Benjamin Angoua\Benjamin-Angoua,ci CIV,DF,Guingamp,29,1986,7,6,538,6.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Houssem Aouar\Houssem-Aouar,fr FRA,FW,Lyon,18,1998,3,1,127,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Mauro Arambarri\Mauro-Arambarri,uy URU,MF,Bordeaux,20,1995,4,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,23,1993,15,14,1297,14.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Fernando Aristeguieta\Fernando-Aristeguieta,ve VEN,FW,Nantes,24,1992,5,0,52,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Sylvain Armand\Sylvain-Armand,fr FRA,DF,Rennes,35,1980,1,0,66,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
24,Benoît Assou-Ekotto\Benoit-Assou-Ekotto,cm CMR,DF,Metz,32,1984,18,16,1479,16.4,0,1,0,0,0,1,3,0.00,0.06,0.06,0.00,0.06,Matches
25,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,Paris S-G,19,1997,10,1,196,2.2,1,2,1,0,0,0,0,0.46,0.92,1.38,0.46,1.38,Matches
26,Serge Aurier\Serge-Aurier,ci CIV,DF,Paris S-G,23,1992,22,21,1829,20.3,0,3,0,0,0,4,2,0.00,0.15,0.15,0.00,0.15,Matches
27,Ludovic Baal\Ludovic-Baal,gf GUF,DFMF,Rennes,30,1986,33,33,2880,32.0,0,4,0,0,0,3,1,0.00,0.12,0.12,0.00,0.12,Matches
28,Loic Badiashile\Loic-Badiashile,fr FRA,GK,Monaco,18,1998,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Tobias Badila\Tobias-Badila,cg CGO,DF,Nancy,23,1993,26,24,2252,25.0,1,0,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches
