Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Lionel Messi\Lionel-Messi,ar ARG,FW,Barcelona,29,1987,34,32,2828,31.4,37,9,31,6,7,6,0,1.18,0.29,1.46,0.99,1.27,Matches
2,Luis Suárez\Luis-Suarez,uy URU,FW,Barcelona,29,1987,35,34,2853,31.7,28,13,28,0,0,8,0,0.88,0.41,1.29,0.88,1.29,Matches
3,Cristiano Ronaldo\Cristiano-Ronaldo,pt POR,FW,Real Madrid,31,1985,29,29,2537,28.2,25,6,19,6,7,4,0,0.89,0.21,1.10,0.67,0.89,Matches
4,Iago Aspas\Iago-Aspas,es ESP,FWMF,Celta Vigo,28,1987,32,25,2317,25.7,19,6,13,6,6,9,2,0.74,0.23,0.97,0.50,0.74,Matches
5,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,35,1981,32,27,2417,26.9,16,5,11,5,5,8,2,0.60,0.19,0.78,0.41,0.60,Matches
6,Antoine Griezmann\Antoine-Griezmann,fr FRA,FW,Atlético Madrid,25,1991,36,36,3039,33.8,16,8,16,0,2,3,0,0.47,0.24,0.71,0.47,0.71,Matches
7,Álvaro Morata\Alvaro-Morata,es ESP,FW,Real Madrid,23,1992,26,14,1336,14.8,14,4,14,0,0,8,0,0.94,0.27,1.21,0.94,1.21,Matches
8,Sandro Ramírez\Sandro-Ramirez,es ESP,FW,Málaga,21,1995,30,28,2300,25.6,14,3,14,0,1,4,0,0.55,0.12,0.67,0.55,0.67,Matches
9,Rubén Castro\Ruben-Castro,es ESP,FW,Betis,35,1981,35,32,2778,30.9,13,3,11,2,2,3,0,0.42,0.10,0.52,0.36,0.45,Matches
10,Gerard Moreno\Gerard-Moreno,es ESP,FW,Espanyol,24,1992,37,37,3270,36.3,13,4,13,0,1,6,0,0.36,0.11,0.47,0.36,0.47,Matches
11,Neymar\Neymar,br BRA,FW,Barcelona,24,1992,30,30,2650,29.4,13,11,12,1,1,7,2,0.44,0.37,0.82,0.41,0.78,Matches
12,Florin Andone\Florin-Andone,ro ROU,FW,La Coruña,23,1993,37,32,2908,32.3,12,2,12,0,0,6,0,0.37,0.06,0.43,0.37,0.43,Matches
13,Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Atlético Madrid,29,1987,30,21,1670,18.6,12,5,11,1,1,0,0,0.65,0.27,0.92,0.59,0.86,Matches
14,Willian José\Willian-Jose,br BRA,FW,Real Sociedad,24,1991,28,27,2052,22.8,12,4,9,3,3,4,0,0.53,0.18,0.70,0.39,0.57,Matches
15,Cédric Bakambu\Cedric-Bakambu,cd COD,FW,Villarreal,25,1991,26,17,1570,17.4,11,1,11,0,0,5,0,0.63,0.06,0.69,0.63,0.69,Matches
16,Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,FW,Sevilla,25,1990,31,20,1652,18.4,11,4,10,1,1,0,0,0.60,0.22,0.82,0.54,0.76,Matches
17,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,28,1987,29,23,1898,21.1,11,5,11,0,0,0,0,0.52,0.24,0.76,0.52,0.76,Matches
18,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,26,1990,38,31,2826,31.4,11,6,11,0,0,5,0,0.35,0.19,0.54,0.35,0.54,Matches
19,Juanmi\Juanmi,es ESP,FWMF,Real Sociedad,23,1993,35,19,1842,20.5,11,0,11,0,0,7,2,0.54,0.00,0.54,0.54,0.54,Matches
20,Kevin-Prince Boateng\Kevin-Prince-Boateng,gh GHA,FWMF,Las Palmas,29,1987,28,25,1978,22.0,10,4,10,0,0,11,3,0.46,0.18,0.64,0.46,0.64,Matches
21,Yannick Carrasco\Yannick-Carrasco,be BEL,MFFW,Atlético Madrid,22,1993,35,27,2302,25.6,10,4,10,0,1,5,0,0.39,0.16,0.55,0.39,0.55,Matches
22,Raúl García\Raul-Garcia,es ESP,MF,Athletic Club,30,1986,36,34,2856,31.7,10,4,7,3,3,11,0,0.32,0.13,0.44,0.22,0.35,Matches
