,Name,Value,Overall_rating,Statistical_rating,Short_name
0,Allan Marques Loureiro,17500000.0,80,95.2,Allan Marques Loureiro
1,André Ramalho Silva,4300000.0,73,98.97777777777777,André Ramalho Silva
2,Bernardo Fernandes,5000000.0,73,149.44545454545457,Bernardo Fernandes
3,Bernardo Víctor Cruz Torres,2400000.0,70,149.44545454545457,Bernardo Víctor Cruz Torres
4,Borja Mayoral Moya,5500000.0,72,17.71578947368421,Borja Mayoral Moya
5,Caiuby Fr. da Silva,6500000.0,75,8.16,Caiuby Fr. da Silva
6,Jorge Andújar Moreno,9000000.0,79,144.075,Jorge Andújar Moreno
7,Douglas Costa de Souza,24000000.0,82,65.9304347826087,Douglas Costa de Souza
8,Douglas Justino de Melo,7500000.0,75,168.64,Douglas Justino de Melo
9,Javier Martínez Aginaga,36000000.0,86,108.12,Javier Martínez Aginaga
10,Uílson de Souza Paula Júnior,4400000.0,74,27.200000000000003,Uílson de Souza Paula Júnior
11,Luiz Gustavo Dias,11500000.0,80,127.05925925925925,Luiz Gustavo Dias
12,Ronaldo Aparecido Rodrigues,6500000.0,82,94.48421052631578,Ronaldo Aparecido Rodrigues
13,Edinaldo Gomes Pereira,6000000.0,75,94.48421052631578,Edinaldo Gomes Pereira
14,Omar Mascarell González,8500000.0,76,117.29999999999998,Omar Mascarell González
15,Raffael Caetano de Araújo,17500000.0,82,106.59,Raffael Caetano de Araújo
16,Rafael Alcântara,23500000.0,81,100.3,Rafael Alcântara
17,Rafael Scapini de Almeida,190000.0,68,100.3,Rafael Scapini de Almeida
18,Sandro Rafael Veiga Cunha,550000.0,64,100.3,Sandro Rafael Veiga Cunha
19,Renato Júnior Luz Sanches,12000000.0,76,23.599999999999998,Renato Júnior Luz Sanches
20,Roger Martí Salvador,9500000.0,76,108.34666666666665,Roger Martí Salvador
21,Adelino André Vieira de Freitas,8000000.0,77,106.04761904761905,Adelino André Vieira de Freitas
22,Walace Souza Silva,7000000.0,74,149.9777777777778,Walace Souza Silva
23,Wendell Nascimento Borges,9500000.0,77,140.675,Wendell Nascimento Borges
24,A. Hunt,7500000.0,76,92.88181818181819,A. Hunt
25,A. Seydel,825000.0,64,10.766666666666666,A. Seydel
26,A. Mehmedi,9000000.0,76,48.06363636363637,A. Mehmedi
27,A. Ramos,9500000.0,78,61.199999999999996,A. Ramos
28,A. Ekdal,8000000.0,76,65.08571428571429,A. Ekdal
29,A. Dragović,9000000.0,77,53.50526315789473,A. Dragović
30,A. Ignjovski,2300000.0,71,94.66315789473683,A. Ignjovski
31,A. Halilović,13000000.0,77,10.200000000000001,A. Halilović
32,A. Schöpf,12000000.0,77,138.30714285714288,A. Schöpf
33,A. Esswein,4200000.0,73,65.30344827586208,A. Esswein
34,A. Hack,3200000.0,71,149.37333333333336,A. Hack
35,A. Meier,4700000.0,77,25.419047619047618,A. Meier
36,A. Schwolow,6000000.0,75,17.7,A. Schwolow
37,A. Morales,3500000.0,72,85.37777777777777,A. Morales
38,A. Finnbogason,9000000.0,77,40.27692307692307,A. Finnbogason
39,A. Cohen,5500000.0,75,135.78064516129032,A. Cohen
40,A. Abrashi,2000000.0,71,81.6,A. Abrashi
41,A. Christensen,24000000.0,81,102.0,A. Christensen
42,A. Luthe,2000000.0,72,238.0,A. Luthe
43,A. Kramarić,22000000.0,81,85.7,A. Kramarić
44,A. Hahn,9000000.0,76,45.22,A. Hahn
45,A. Schürrle,17500000.0,80,63.01333333333333,A. Schürrle
46,A. Rebić,4200000.0,72,50.15,A. Rebić
47,A. Jung,1100000.0,69,71.6125,A. Jung
48,A. Robben,36000000.0,88,120.3076923076923,A. Robben
49,A. Maier,750000.0,63,0.0,A. Maier
50,A. Jóhannsson,3900000.0,72,7.933333333333333,A. Jóhannsson
51,A. Vidal,37500000.0,87,117.23703703703703,A. Vidal
52,A. Götz,700000.0,66,6.799999999999999,A. Götz
53,A. Barkok,1900000.0,68,63.08888888888888,A. Barkok
54,A. Sulu,5000000.0,76,88.27407407407406,A. Sulu
55,B. Simakala,350000.0,59,0.0,B. Simakala
56,B. Jatta,1000000.0,65,64.03333333333335,B. Jatta
57,B. Atik,675000.0,64,40.8,B. Atik
58,B. Dost,27000000.0,83,0.0,B. Dost
59,B. Oczipka,7000000.0,77,148.98181818181817,B. Oczipka
60,B. Höwedes,20000000.0,83,144.88387096774193,B. Höwedes
61,B. Henrichs,11000000.0,76,181.2551724137931,B. Henrichs
62,B. Hübner,10500000.0,79,135.456,B. Hübner
63,B. Stambouli,9000000.0,77,97.56521739130434,B. Stambouli
64,B. Schmitz,2500000.0,71,124.94999999999999,B. Schmitz
65,B. Tekpetey,975000.0,64,-17.0,B. Tekpetey
66,B. Leno,34000000.0,85,24.2,B. Leno
67,B. Wood,9500000.0,75,33.878571428571426,B. Wood
68,B. Hrgota,4300000.0,72,46.99285714285715,B. Hrgota
69,B. Embolo,14000000.0,76,74.79999999999998,B. Embolo
70,C. Aránguiz,10500000.0,78,118.6076923076923,C. Aránguiz
71,C. Clemens,6500000.0,74,105.85333333333332,C. Clemens
72,C. Günter,3300000.0,72,91.69032258064514,C. Günter
73,C. Mathenia,6000000.0,75,44.685714285714276,C. Mathenia
74,C. Pulisic,16500000.0,78,71.51724137931035,C. Pulisic
75,C. Träsch,5000000.0,75,136.61818181818182,C. Träsch
76,C. Janker,1400000.0,71,46.919999999999995,C. Janker
77,C. Kramer,13000000.0,79,123.39166666666665,C. Kramer
78,C. Pizarro,2400000.0,75,25.589473684210525,C. Pizarro
79,D. Baier,5000000.0,79,182.34074074074073,D. Baier
80,D. Brosinski,6000000.0,76,125.33103448275864,D. Brosinski
81,D. Caligiuri,10000000.0,78,100.83125000000001,D. Caligiuri
82,D. Didavi,17000000.0,80,62.71111111111112,D. Didavi
83,D. Heuer Fernandes,1100000.0,69,13.114285714285716,D. Heuer Fernandes
84,D. Blum,2200000.0,70,41.771428571428565,D. Blum
85,D. Latza,10000000.0,77,124.9904761904762,D. Latza
86,D. da Costa,2600000.0,71,47.599999999999994,D. da Costa
87,D. Abraham,9500000.0,79,110.04666666666665,D. Abraham
88,D. Alaba,44500000.0,86,104.975,D. Alaba
89,D. Selke,5000000.0,72,15.380952380952381,D. Selke
90,D. Upamecano,4400000.0,71,81.03333333333332,D. Upamecano
91,D. Aogo,4100000.0,74,49.05714285714286,D. Aogo
92,D. Diekmeier,5000000.0,74,90.66666666666667,D. Diekmeier
93,D. Benaglio,4500000.0,77,18.214285714285715,D. Benaglio
94,D. Demme,11000000.0,78,176.375,D. Demme
95,D. Sow,550000.0,61,0.0,D. Sow
96,D. Maroh,4900000.0,75,63.18333333333333,D. Maroh
97,D. Kaiser,3100000.0,72,57.8,D. Kaiser
98,D. Kohr,8500000.0,76,139.00769230769228,D. Kohr
99,D. Stroh-Engel,950000.0,69,0.0,D. Stroh-Engel
100,D. Heintz,11500000.0,78,82.23750000000001,D. Heintz
101,D. Avdijaj,4600000.0,72,30.22222222222222,D. Avdijaj
102,D. Burnić,1000000.0,65,78.19999999999999,D. Burnić
103,E. Vargas,8000000.0,75,6.799999999999997,E. Vargas
104,E. Forsberg,31500000.0,83,150.95999999999998,E. Forsberg
105,E. Mor,3800000.0,70,60.06666666666666,E. Mor
106,E. Choupo-Moting,9000000.0,77,41.24347826086956,E. Choupo-Moting
107,E. Durm,9000000.0,77,105.66153846153846,E. Durm
108,E. Bičakčić,7500000.0,76,73.66666666666667,E. Bičakčić
109,F. Frei,7500000.0,76,89.53333333333335,F. Frei
110,F. Holland,2300000.0,71,127.5,F. Holland
111,F. Johnson,12500000.0,79,70.91428571428571,F. Johnson
112,F. Lustenberger,6000000.0,76,109.8736842105263,F. Lustenberger
113,F. Reese,975000.0,64,-5.666666666666667,F. Reese
114,F. Schär,7000000.0,75,37.4,F. Schär
115,F. Coltorti,325000.0,71,238.0,F. Coltorti
116,F. Diagne,1500000.0,70,73.1,F. Diagne
117,F. Palacios Martínez,625000.0,64,52.7,F. Palacios Martínez
118,F. Passlack,2000000.0,69,69.7,F. Passlack
119,F. Platte,3100000.0,70,25.688888888888886,F. Platte
120,F. Wiedwald,4600000.0,74,30.463999999999995,F. Wiedwald
121,F. Kostić,14000000.0,78,118.89032258064518,F. Kostić
122,F. Mladenović,1800000.0,70,8.5,F. Mladenović
123,F. Bartels,10000000.0,78,92.23870967741934,F. Bartels
124,F. Porath,375000.0,60,0.0,F. Porath
