,Name,Value,Overall_rating,Statistical_rating,Short_name
0,Aarón Martín Caricol,9500000.0,76,120.46,Aarón Martín Caricol
1,Adrián González Morales,7500000.0,76,54.421428571428564,Adrián González Morales
2,Adrián López Garrote,575000.0,64,44.333333333333336,Adrián López Garrote
3,Adrián Ortolá Vaño,2000000.0,70,190.0,Adrián Ortolá Vaño
4,Aitor Buñuel Redrado,1700000.0,68,114.50666666666666,Aitor Buñuel Redrado
5,Alberto Martín Romo García-Adámez,2800000.0,72,84.3125,Alberto Martín Romo García-Adámez
6,Aleix Vidal Parreu,6500000.0,76,101.33333333333333,Aleix Vidal Parreu
7,Alexis Ruano Delgado,5000000.0,76,43.38333333333333,Alexis Ruano Delgado
8,Andreas Hugo Hoelgebaum Pereira,15500000.0,78,101.84,Andreas Hugo Hoelgebaum Pereira
9,André Filipe Tavares Gomes,30000000.0,82,43.06666666666667,André Filipe Tavares Gomes
10,Andrés Eduardo Fernández Moreno,4900000.0,76,129.70666666666668,Andrés Eduardo Fernández Moreno
11,Aritz Elustondo,9500000.0,76,59.53333333333333,Aritz Elustondo
12,Aythami Artiles Oliva,5000000.0,76,32.81818181818182,Aythami Artiles Oliva
13,Tiago Manuel Dias Correia,6000000.0,74,71.06000000000002,Tiago Manuel Dias Correia
14,Borja Valle Balonga,3000000.0,71,29.314285714285717,Borja Valle Balonga
15,Borja Viguera Manzanares,1700000.0,70,49.84705882352941,Borja Viguera Manzanares
16,Bruno Alexandre Vilela Gama,5500000.0,74,111.92727272727274,Bruno Alexandre Vilela Gama
17,Jorge Franco Alviz,9000000.0,75,80.63125000000001,Jorge Franco Alviz
18,Carles Gil Pareja,14000000.0,78,62.94782608695652,Carles Gil Pareja
19,Carles Planas Antolínez,5500000.0,74,152.63333333333333,Carles Planas Antolínez
20,Carlos Fernández Luna,1300000.0,67,38.0,Carlos Fernández Luna
21,Carlos Martínez Díaz,5000000.0,76,150.1,Carlos Martínez Díaz
22,Carlos Martínez Garrido,650000.0,66,150.1,Carlos Martínez Garrido
23,Carlos Soler Barragán,12000000.0,76,66.41739130434783,Carlos Soler Barragán
24,Carlos Henrique Venancio Casimiro,42000000.0,85,158.384,Carlos Henrique Venancio Casimiro
25,Charles Dias De Oliveira,5500000.0,77,15.380952380952381,Charles Dias De Oliveira
26,Charles Marcelo da Silva,4400000.0,73,15.380952380952381,Charles Marcelo da Silva
27,Charles Basílio da Silva,600000.0,69,15.380952380952381,Charles Basílio da Silva
28,C. Ronaldo dos Santos Aveiro,95500000.0,94,122.51724137931035,C. Ronaldo dos Santos Aveiro
29,Daniel Castellano Betancor,5000000.0,75,127.08888888888889,Daniel Castellano Betancor
30,Daniel Ceballos Fernández,16500000.0,78,186.2,Daniel Ceballos Fernández
31,Daniel Garcia Carrillo,17000000.0,81,129.72777777777776,Daniel Garcia Carrillo
32,Daniel Giménez Hernández,900000.0,70,-76.0,Daniel Giménez Hernández
33,Daniel Filipe Martins Carriço,13500000.0,80,24.69999999999999,Daniel Filipe Martins Carriço
34,Danilo Larangeira,5000000.0,79,158.92941176470586,Danilo Larangeira
35,Danilo Luiz da Silva,10500000.0,78,158.92941176470586,Danilo Luiz da Silva
36,Danilo Barbosa da Silva,8000000.0,74,158.92941176470586,Danilo Barbosa da Silva
37,Danilo Sousa Campos,2500000.0,71,158.92941176470586,Danilo Sousa Campos
38,Danilo Teodoro Soares,2400000.0,71,158.92941176470586,Danilo Teodoro Soares
39,David Barral Torres,925000.0,70,49.39999999999999,David Barral Torres
40,David Costas Cordal,3500000.0,72,-11.400000000000002,David Costas Cordal
41,David García Santana,2100000.0,77,88.85531914893616,David García Santana
42,David García Zubiria,8000000.0,75,88.85531914893616,David García Zubiria
43,David Juncà Reñé,6500000.0,74,128.35555555555555,David Juncà Reñé
44,David López Silva,8500000.0,78,135.85,David López Silva
45,David Simón Rodríguez Santana,5000000.0,74,102.36249999999998,David Simón Rodríguez Santana
46,David Soria Solís,4400000.0,73,266.0,David Soria Solís
47,Denis Suárez Fernández,20500000.0,80,49.54615384615385,Denis Suárez Fernández
48,Diego González Polanco,5500000.0,73,43.06666666666666,Diego González Polanco
49,Diego Javier Llorente Ríos,16000000.0,79,121.14399999999999,Diego Javier Llorente Ríos
50,Diego López Rodríguez,6000000.0,83,100.42857142857143,Diego López Rodríguez
51,Diego Mariño Villar,4700000.0,74,76.0,Diego Mariño Villar
52,Diego Rico Salguero,8500000.0,76,189.392,Diego Rico Salguero
53,Douglas Renato de Jesus,3100000.0,76,155.98095238095237,Douglas Renato de Jesus
54,Douglas Franco Teixeira,3100000.0,73,155.98095238095237,Douglas Franco Teixeira
55,Douglas Pereira dos Santos,2600000.0,72,155.98095238095237,Douglas Pereira dos Santos
56,Eduardo Expósito Jaén,2300000.0,69,0.0,Eduardo Expósito Jaén
57,Erik Expósito Hernández,550000.0,62,-66.5,Erik Expósito Hernández
58,Erik Morán Arribas,3300000.0,72,80.11666666666666,Erik Morán Arribas
