,Name,Value,Overall_rating,Statistical_rating,Short_name
0,Adrián San Miguel Castillo,8000000.0,79,59.375,Adrián San Miguel Castillo
1,Adrián López Alvarez,6500000.0,75,59.375,Adrián López Alvarez
2,Adrián Diéguez Grande,400000.0,62,59.375,Adrián Diéguez Grande
3,Alberto Moreno Pérez,8000000.0,76,33.25,Alberto Moreno Pérez
4,Aleix García Serrano,3100000.0,70,66.5,Aleix García Serrano
5,Ander Herrera Agüera,32000000.0,84,165.11612903225804,Ander Herrera Agüera
6,Borja González Tomás,14000000.0,78,20.055555555555557,Borja González Tomás
7,Francesc Fàbregas i Soler,41000000.0,86,97.35862068965517,Francesc Fàbregas i Soler
8,Daniel Sanchez Ayala,2700000.0,72,62.699999999999996,Daniel Sanchez Ayala
9,David Luiz Moreira Marinho,33000000.0,86,87.16969696969696,David Luiz Moreira Marinho
10,David Josué Jiménez Silva,44000000.0,87,108.63529411764705,David Josué Jiménez Silva
11,Diego da Silva Costa,46000000.0,86,102.16571428571427,Diego da Silva Costa
12,Fernando Luiz Rosa,12500000.0,82,117.91875,Fernando Luiz Rosa
13,Fernando Lucas Martins,14000000.0,79,51.93333333333333,Fernando Lucas Martins
14,Fernando Reges,8000000.0,78,51.93333333333333,Fernando Reges
15,Fernando Martínez Rubio,575000.0,66,51.93333333333333,Fernando Martínez Rubio
16,Fábio Pereira da Silva,2600000.0,72,128.40833333333333,Fábio Pereira da Silva
17,Gabriel Fernando de Jesus,31000000.0,81,121.6,Gabriel Fernando de Jesus
18,Gabriel Armando de Abreu,12500000.0,79,64.0,Gabriel Armando de Abreu
19,Héctor Bellerín Moruno,21000000.0,81,75.53939393939393,Héctor Bellerín Moruno
20,Joel Robles Blázquez,4600000.0,74,136.8,Joel Robles Blázquez
21,Jordi Amat Maas,10500000.0,77,66.38823529411765,Jordi Amat Maas
22,José Miguel da Rocha Fonte,5000000.0,79,88.78181818181817,José Miguel da Rocha Fonte
23,Juan Manuel Mata García,30500000.0,84,94.544,Juan Manuel Mata García
24,Robert Kenedy Nunes do Nascimento,4800000.0,72,34.199999999999996,Robert Kenedy Nunes do Nascimento
25,Lucas Pezzini Leiva,9500000.0,79,77.9,Lucas Pezzini Leiva
26,Lucas Pérez Martínez,18500000.0,81,33.50909090909091,Lucas Pérez Martínez
