,Name,Value,Overall_rating,Statistical_rating,Short_name
0,Alex Sandro Lobo Silva,44000000.0,86,169.45185185185184,Alex Sandro Lobo Silva
1,Allan Marques Loureiro,17500000.0,80,108.62758620689657,Allan Marques Loureiro
2,Bartolomeu Quissanga,10000000.0,77,68.05454545454546,Bartolomeu Quissanga
3,Ángel Bastos Teijeira,325000.0,62,68.05454545454546,Ángel Bastos Teijeira
4,Borja Valero Iglesias,20000000.0,83,112.40645161290323,Borja Valero Iglesias
5,Bruno Miguel Borges Fernandes,14000000.0,78,79.33939393939394,Bruno Miguel Borges Fernandes
6,Bruno da Silva Peres,11000000.0,78,115.64666666666668,Bruno da Silva Peres
7,Claiton Machado dos Santos,1800000.0,72,69.16,Claiton Machado dos Santos
8,Cristian Tello Herrera,10500000.0,77,71.56666666666666,Cristian Tello Herrera
9,Daniel Alves da Silva,9000000.0,84,137.8,Daniel Alves da Silva
10,Danilo Fernando Avelar,3200000.0,73,226.73333333333332,Danilo Fernando Avelar
11,José Rodolfo Pires Ribeiro,4900000.0,73,47.77142857142858,José Rodolfo Pires Ribeiro
12,Ewandro Felipe de Lima Costa,1700000.0,69,9.120000000000001,Ewandro Felipe de Lima Costa
13,Felipe Anderson Pereira Gomes,24000000.0,81,175.4333333333333,Felipe Anderson Pereira Gomes
14,Gabriel Barbosa Almeida,12000000.0,76,-22.799999999999997,Gabriel Barbosa Almeida
15,Gabriel Appelt Pires,9000000.0,75,-22.799999999999997,Gabriel Appelt Pires
16,Gabriel dos S. Magalhães,1100000.0,67,-22.799999999999997,Gabriel dos S. Magalhães
17,Gabriel Moisés Antunes da Silva,2300000.0,71,41.8,Gabriel Moisés Antunes da Silva
18,Gerson Santos da Silva,1500000.0,67,24.699999999999996,Gerson Santos da Silva
19,Gerson Guimarães Ferreira,675000.0,66,24.699999999999996,Gerson Guimarães Ferreira
20,Luiz Frello Filho Jorge,22000000.0,81,127.7925925925926,Luiz Frello Filho Jorge
21,Jorge Fernando Barbosa Intima,3100000.0,70,127.7925925925926,Jorge Fernando Barbosa Intima
22,José María Callejón Bueno,24500000.0,83,154.8756756756757,José María Callejón Bueno
23,João Mário Naval Costa Eduardo,34000000.0,83,102.72666666666667,João Mário Naval Costa Eduardo
24,João Pedro G. Santos Galvão,8500000.0,75,103.46363636363635,João Pedro G. Santos Galvão
25,João Pedro Almeida Machado,3000000.0,71,103.46363636363635,João Pedro Almeida Machado
26,João Pedro Pereira dos Santos,700000.0,65,103.46363636363635,João Pedro Pereira dos Santos
27,Juan Guilherme Nunes Jesus,7500000.0,77,68.02,Juan Guilherme Nunes Jesus
28,Lucas E. Santana de Oliveira,3500000.0,71,72.19999999999999,Lucas E. Santana de Oliveira
29,Luis Alberto Romero Alconchel,14000000.0,78,73.04444444444444,Luis Alberto Romero Alconchel
30,Luiz Adriano Souza da Silva,10000000.0,78,5.971428571428571,Luiz Adriano Souza da Silva
31,Marcos Alonso Mendoza,17500000.0,81,79.79999999999998,Marcos Alonso Mendoza
32,Matheus Fellipe Costa Pereira,9500000.0,74,0.0,Matheus Fellipe Costa Pereira
33,Matheus Pereira da Silva,3800000.0,70,0.0,Matheus Pereira da Silva
34,Miguel Luís Pinto Veloso,7000000.0,78,106.56521739130434,Miguel Luís Pinto Veloso
35,João Miranda de Souza Filho,25500000.0,86,124.21249999999999,João Miranda de Souza Filho
36,Juan Miranda González,800000.0,64,124.21249999999999,Juan Miranda González
37,Mário Rui Silva Duarte,8500000.0,77,95.76,Mário Rui Silva Duarte
38,Norberto Murara Neto,10000000.0,80,173.375,Norberto Murara Neto
39,Anderson Patric Aguiar Oliveira,1800000.0,70,55.4,Anderson Patric Aguiar Oliveira
40,Patricio Gabarrón Gil,1200000.0,69,55.4,Patricio Gabarrón Gil
41,Pedro Miguel Pereira,1700000.0,69,-31.666666666666668,Pedro Miguel Pereira
42,Pol Mikel Lirola Kosok,6000000.0,74,107.60909090909091,Pol Mikel Lirola Kosok
43,Rafael Pereira da Silva,9000000.0,78,56.457142857142856,Rafael Pereira da Silva
44,Rafael Pinheiro Andrade Bittencourt,1600000.0,75,56.457142857142856,Rafael Pinheiro Andrade Bittencourt
45,Rafael Cabral Barbosa,4700000.0,74,56.457142857142856,Rafael Cabral Barbosa
46,Rafael Tolói,9000000.0,77,148.79375000000002,Rafael Tolói
47,Raúl Albiol Tortajada,15000000.0,82,44.869230769230775,Raúl Albiol Tortajada
48,Jesús Joaquín Fernández Sáez,29500000.0,82,132.77647058823527,Jesús Joaquín Fernández Sáez
49,Thiago Rangel Cionek,1600000.0,71,124.35172413793104,Thiago Rangel Cionek
50,Wallace Fortuna Santos,11500000.0,77,46.511999999999986,Wallace Fortuna Santos
51,Éder Macedo Lopes,7500000.0,76,69.0909090909091,Éder Macedo Lopes
52,Éder Luiz Lima de Souza,1000000.0,69,69.0909090909091,Éder Luiz Lima de Souza
53,A. Peñaranda,11000000.0,75,31.033333333333335,A. Peñaranda
54,A. Masina,6500000.0,74,109.13125000000001,A. Masina
55,A. Taarabt,1800000.0,70,34.2,A. Taarabt
56,A. Ljajić,15000000.0,79,94.88484848484849,A. Ljajić
57,A. Stoian,1900000.0,70,101.05185185185185,A. Stoian
58,A. Acquah,7000000.0,74,50.35,A. Acquah
59,A. Benali,3900000.0,72,102.94545454545455,A. Benali
60,A. Bizzarri,450000.0,75,-59.09655172413793,A. Bizzarri
61,A. Aquilani,5000000.0,75,71.136,A. Aquilani
62,A. Cerri,1900000.0,69,3.215384615384614,A. Cerri
63,A. Gilardino,3500000.0,75,-17.211764705882356,A. Gilardino
64,A. Grassi,3600000.0,71,51.72222222222222,A. Grassi
65,A. Paloschi,9000000.0,76,2.923076923076923,A. Paloschi
66,A. Pelagotti,625000.0,68,-50.666666666666664,A. Pelagotti
67,A. Rosi,1700000.0,71,118.29032258064517,A. Rosi
68,A. Tonev,950000.0,68,41.50769230769231,A. Tonev
69,A. Trajkovski,1400000.0,69,67.36363636363636,A. Trajkovski
70,A. Bastoni,850000.0,64,100.06666666666666,A. Bastoni
71,A. Crescenzi,1100000.0,69,61.16190476190476,A. Crescenzi
72,A. Deiola,700000.0,64,17.479999999999997,A. Deiola
73,A. Florenzi,22000000.0,82,154.95555555555555,A. Florenzi
74,A. Gamberini,2100000.0,77,75.61999999999999,A. Gamberini
75,A. Matri,6000000.0,76,30.399999999999995,A. Matri
76,A. Murgia,1600000.0,68,91.74285714285713,A. Murgia
77,A. Rossi,1200000.0,65,19.0,A. Rossi
78,A. Romagnoli,16000000.0,79,67.41481481481482,A. Romagnoli
79,A. Cordaz,1300000.0,72,57.0,A. Cordaz
80,A. Ferrari,1200000.0,69,83.60000000000001,A. Ferrari
81,A. Duncan,10500000.0,76,77.26666666666667,A. Duncan
82,A. Diawara,12000000.0,77,70.72222222222223,A. Diawara
83,A. Barberis,1400000.0,69,91.34615384615384,A. Barberis
84,A. Barzagli,5000000.0,85,63.608695652173914,A. Barzagli
85,A. Beghetto,350000.0,61,79.80000000000001,A. Beghetto
86,A. Belotti,37000000.0,83,148.6342857142857,A. Belotti
87,A. Bertolacci,11000000.0,77,48.13333333333333,A. Bertolacci
88,A. Coda,525000.0,68,82.43076923076924,A. Coda
89,A. Consigli,14000000.0,82,57.71891891891892,A. Consigli
90,A. Conti,10000000.0,75,150.84848484848484,A. Conti
91,A. Costa,3800000.0,74,83.16153846153846,A. Costa
92,A. Fulignati,475000.0,64,61.22222222222222,A. Fulignati
93,A. Masiello,6000000.0,77,109.33142857142856,A. Masiello
94,A. Nalini,220000.0,60,94.55294117647058,A. Nalini
95,A. Petagna,6000000.0,73,41.35294117647059,A. Petagna
96,A. Pinamonti,625000.0,62,32.3,A. Pinamonti
97,A. Poli,7000000.0,75,43.26153846153846,A. Poli
98,A. Ranocchia,6000000.0,76,33.43999999999998,A. Ranocchia
99,A. Rispoli,2400000.0,71,119.9375,A. Rispoli
100,A. Seculin,1600000.0,70,-9.5,A. Seculin
101,A. Kotnik,300000.0,60,0.0,A. Kotnik
102,A. Balić,1500000.0,69,79.79999999999998,A. Balić
103,A. Salzano,750000.0,66,62.971428571428575,A. Salzano
104,A. Budimir,2200000.0,70,-7.254545454545453,A. Budimir
105,A. Mounier,7500000.0,76,23.14545454545455,A. Mounier
106,A. Ragusa,6000000.0,74,83.296,A. Ragusa
107,A. Barreca,10000000.0,75,113.1857142857143,A. Barreca
108,A. Candreva,14000000.0,80,146.7,A. Candreva
109,A. Floro Flores,1600000.0,72,40.21666666666666,A. Floro Flores
110,A. Mirante,7500000.0,80,60.61904761904762,A. Mirante
111,A. Rüdiger,24500000.0,82,81.26153846153845,A. Rüdiger
112,A. Morleo,350000.0,68,98.79999999999998,A. Morleo
113,A. Milik,18000000.0,79,31.741176470588236,A. Milik
114,A. Ajeti,975000.0,68,29.449999999999996,A. Ajeti
115,A. Jakupović,130000.0,53,0.0,A. Jakupović
116,A. Dioussé,3700000.0,71,67.47878787878787,A. Dioussé
117,A. Gnoukouri,2800000.0,70,18.050000000000004,A. Gnoukouri
118,B. Bereszyński,4200000.0,73,116.92307692307692,B. Bereszyński
119,B. Salamon,1800000.0,70,55.48,B. Salamon
120,B. Drągowski,4200000.0,71,0.0,B. Drągowski
121,B. Dramé,3700000.0,74,119.7,B. Dramé
122,B. Cesar,2300000.0,76,51.858823529411765,B. Cesar
123,B. Martella,1100000.0,69,107.31724137931036,B. Martella
124,B. Petković,4600000.0,72,36.416666666666664,B. Petković
125,B. Cabezas,2400000.0,70,57.0,B. Cabezas
126,B. Cristante,4900000.0,72,65.14285714285714,B. Cristante
127,C. Bacca,21500000.0,82,32.775,C. Bacca
128,C. Carmona,3000000.0,73,11.399999999999993,C. Carmona
129,C. Salcedo,6500000.0,74,81.27777777777777,C. Salcedo
130,C. Sánchez,6000000.0,77,100.0258064516129,C. Sánchez
131,C. Sánchez,6500000.0,77,100.0258064516129,C. Sánchez
132,C. Bovo,950000.0,72,90.11428571428573,C. Bovo
133,C. Maggio,1400000.0,75,122.6857142857143,C. Maggio
134,C. Puggioni,325000.0,71,37.457142857142856,C. Puggioni
135,C. Immobile,30500000.0,83,82.33333333333333,C. Immobile
136,C. Adjapong,2500000.0,70,83.59999999999998,C. Adjapong
137,C. Marchisio,33000000.0,85,83.8111111111111,C. Marchisio
138,C. Grenier,6500000.0,74,24.066666666666666,C. Grenier
139,C. Ansaldi,9000000.0,79,113.27619047619046,C. Ansaldi
140,C. Dell'Orco,1000000.0,68,116.11111111111111,C. Dell'Orco
141,C. Molinaro,1500000.0,73,137.17999999999998,C. Molinaro
142,C. Biraghi,3500000.0,72,128.00571428571428,C. Biraghi
143,C. Lombardi,1800000.0,69,23.855555555555558,C. Lombardi
144,C. Théréau,4500000.0,77,82.21818181818183,C. Théréau
145,D. Baselli,16500000.0,79,105.78378378378379,D. Baselli
146,D. Croce,2700000.0,74,142.12,D. Croce
147,D. De Rossi,10500000.0,83,133.61290322580646,D. De Rossi
148,D. Dessena,2200000.0,71,101.75555555555556,D. Dessena
149,D. Gastaldello,2300000.0,76,95.63333333333334,D. Gastaldello
150,D. Padelli,3400000.0,74,-85.5,D. Padelli
151,D. Rugani,19000000.0,80,78.78666666666666,D. Rugani
152,D. Cataldi,9500000.0,75,77.89999999999999,D. Cataldi
153,D. D'Ambrosio,5500000.0,75,141.7875,D. D'Ambrosio
154,Danilo,5000000.0,79,63.75555555555556,Danilo
155,D. Dainelli,1000000.0,76,103.3307692307692,D. Dainelli
156,D. Lazović,7000000.0,75,115.72727272727273,D. Lazović
157,D. Astori,13000000.0,81,112.15757575757577,D. Astori
158,D. Biondini,875000.0,70,73.82857142857142,D. Biondini
159,D. Biraschi,1100000.0,68,46.142857142857146,D. Biraschi
160,D. Calabria,5500000.0,73,150.73333333333332,D. Calabria
161,D. Di Gennaro,3000000.0,72,157.7,D. Di Gennaro
162,D. Santon,7500000.0,76,137.88571428571427,D. Santon
163,D. Vitturini,400000.0,61,-1.2666666666666677,D. Vitturini
164,D. Zappacosta,13500000.0,79,123.17241379310344,D. Zappacosta
165,D. Praet,10500000.0,76,70.18124999999999,D. Praet
166,D. Falcinelli,6500000.0,74,61.64444444444444,D. Falcinelli
167,D. Laxalt,13500000.0,78,130.36111111111111,D. Laxalt
168,D. Perotti,18000000.0,81,155.79999999999998,D. Perotti
169,D. Mesbah,2200000.0,73,88.16,D. Mesbah
170,D. Berardi,24500000.0,81,153.62857142857143,D. Berardi
171,D. Maietta,1700000.0,74,134.04827586206898,D. Maietta
172,D. Mertens,43000000.0,86,132.34857142857143,D. Mertens
173,D. Zapata,13000000.0,78,61.0,D. Zapata
174,D. Basta,8000000.0,80,87.39999999999999,D. Basta
175,E. Gnahoré,1100000.0,67,34.199999999999996,E. Gnahoré
176,E. Džeko,28000000.0,84,110.2,E. Džeko
177,E. Goldaniga,3700000.0,72,84.00714285714287,E. Goldaniga
178,E. Hysaj,13500000.0,79,96.19428571428571,E. Hysaj
179,E. Vignato,500000.0,61,17.099999999999998,E. Vignato
180,E. Giaccherini,8000000.0,78,20.900000000000002,E. Giaccherini
181,E. Terranova,1300000.0,70,73.46666666666667,E. Terranova
182,E. Audero,950000.0,67,38.0,E. Audero
183,E. Hallfreðsson,3900000.0,75,109.52142857142856,E. Hallfreðsson
184,E. Krafth,4700000.0,73,71.46923076923075,E. Krafth
185,E. Moretti,900000.0,75,115.65217391304348,E. Moretti
186,E. Viviano,13500000.0,82,61.917647058823526,E. Viviano
187,E. Pulgar,4700000.0,73,103.58518518518518,E. Pulgar
188,E. Zukanović,4900000.0,75,102.2,E. Zukanović
189,E. Berisha,8500000.0,78,90.03076923076924,E. Berisha
190,E. Lamanna,2500000.0,72,-16.647619047619045,E. Lamanna
191,E. Muñoz,4200000.0,73,94.26451612903227,E. Muñoz
192,F. Pisacane,1600000.0,71,130.11724137931034,F. Pisacane
193,F. Cacciatore,4100000.0,74,105.7448275862069,F. Cacciatore
194,F. Ghoulam,15000000.0,80,124.87586206896552,F. Ghoulam
195,F. Barba,3700000.0,72,36.61818181818182,F. Barba
196,F. Bernardeschi,30500000.0,82,112.33749999999999,F. Bernardeschi
197,F. Ceccherini,4500000.0,73,119.21142857142856,F. Ceccherini
198,F. Chiesa,11500000.0,75,76.14074074074075,F. Chiesa
199,F. Di Francesco,6000000.0,73,50.666666666666664,F. Di Francesco
